mjd,mag,magerr
334071,1979,0.05
353891,3278,0.05
380487,2335,0.05
395595,1530,0.05
411844,2743,0.05
425259,2728,0.05
444963,3361,0.05
460424,3112,0.05
476136,2479,0.05
489919,7725,0.05
505431,843,0.05
515107,1540,0.05
526258,1752,0.05
547219,1381,0.05
562059,1721,0.05
574484,3363,0.05
586491,1876,0.05
606245,2031,0.05
615803,671,0.05
623768,4458,0.05
623768,4458,0.05
695505,1335,0.05
703906,1444,0.05
716131,1377,0.05
728640,1498,0.05
741720,6598,0.05
766571,1818,0.05
774285,1043,0.05
783642,289,0.05
792982,2482,0.05
809784,1280,0.05
823552,1525,0.05
833043,720,0.05
839599,7093,0.05
854238,732,0.05
862338,2794,0.05
874445,2350,0.05
885395,2251,0.05
899262,2430,0.05
908502,1669,0.05
920492,1336,0.05
920492,1336,0.05
983878,1921,0.05
992749,1013,0.05
1000328,3652,0.05
1019193,1811,0.05
1030613,1583,0.05
1043793,3445,0.05
1058566,1506,0.05
1067018,1171,0.05
1077079,2882,0.05
1087107,1471,0.05
1101628,1098,0.05
1110633,2307,0.05
1124518,2029,0.05
1134327,1526,0.05
1152086,1171,0.05
1163321,1066,0.05
1174472,1519,0.05
1183493,1274,0.05
1193437,2536,0.05
1213157,1461,0.05
1213157,1461,0.05
1262743,2157,0.05
1276627,1362,0.05
1286119,3183,0.05
1303072,2218,0.05
1315749,2355,0.05
1327252,2376,0.05
1336978,2044,0.05
1348750,1207,0.05
1358325,1777,0.05
1371925,1299,0.05
1384266,1724,0.05
1403467,3074,0.05
1417117,2447,0.05
1431324,1949,0.05
1443561,1059,0.05
1455366,1799,0.05
1465712,1231,0.05
1477920,4329,0.05
1497103,1453,0.05
1507064,1012,0.05
1507064,1012,0.05
