mjd,mag,magerr
161771,3513,0.05
172635,2269,0.05
182266,1305,0.05
191314,2517,0.05
208060,1640,0.05
218024,2607,0.05
231071,1749,0.05
247334,3110,0.05
261132,1662,0.05
269462,2263,0.05
277627,1044,0.05
283359,736,0.05
289607,459,0.05
294806,1399,0.05
302654,3492,0.05
311119,1384,0.05
318150,563,0.05
326748,1641,0.05
333546,1098,0.05
339495,1405,0.05
339495,1405,0.05
354291,1618,0.05
362173,1449,0.05
373787,1429,0.05
381702,2286,0.05
392949,1541,0.05
403248,2235,0.05
414028,1678,0.05
421925,2221,0.05
430590,993,0.05
441304,917,0.05
450869,375,0.05
455051,378,0.05
459134,800,0.05
464032,628,0.05
470297,1374,0.05
475563,754,0.05
479905,417,0.05
485827,588,0.05
491142,2176,0.05
503173,439,0.05
503173,439,0.05
513120,1074,0.05
520335,5032,0.05
538098,2105,0.05
549911,1884,0.05
556993,426,0.05
561709,1269,0.05
574506,809,0.05
578338,302,0.05
583487,1205,0.05
594268,510,0.05
603715,2472,0.05
615112,667,0.05
626410,2218,0.05
639007,732,0.05
645389,2304,0.05
656069,398,0.05
664217,721,0.05
671682,2347,0.05
678414,272,0.05
681863,226,0.05
681863,226,0.05
689312,619,0.05
693912,255,0.05
702409,4717,0.05
712556,557,0.05
718955,1843,0.05
731901,733,0.05
740316,1417,0.05
749397,1398,0.05
758428,2960,0.05
770759,1023,0.05
778090,649,0.05
783839,2128,0.05
793820,693,0.05
807300,222,0.05
811516,202,0.05
818880,513,0.05
822613,642,0.05
827312,976,0.05
835610,1954,0.05
844258,1609,0.05
844258,1609,0.05
