mjd,mag,magerr
307460,2209,0.05
322830,2102,0.05
339598,4719,0.05
358497,5017,0.05
381392,3804,0.05
399842,3387,0.05
421472,6084,0.05
438256,4331,0.05
451760,5617,0.05
468362,2949,0.05
481300,1895,0.05
496136,1960,0.05
507293,4578,0.05
523245,5910,0.05
538197,1713,0.05
552951,1889,0.05
570118,1785,0.05
581408,1970,0.05
590366,2758,0.05
604603,1937,0.05
604603,1937,0.05
652659,1503,0.05
662949,1998,0.05
674705,1991,0.05
684762,2981,0.05
696052,1533,0.05
705227,2136,0.05
720296,2945,0.05
731469,3139,0.05
740327,1867,0.05
750202,3048,0.05
760792,2961,0.05
773713,2419,0.05
789232,1761,0.05
802437,1565,0.05
814243,8540,0.05
836339,1430,0.05
848977,1326,0.05
857586,4016,0.05
868210,1720,0.05
883296,2034,0.05
883296,2034,0.05
913068,4208,0.05
925873,1845,0.05
934731,2315,0.05
953014,1981,0.05
966735,1519,0.05
977259,1498,0.05
986916,1899,0.05
998889,1512,0.05
1015956,1962,0.05
1026347,3318,0.05
1039468,1598,0.05
1049491,1896,0.05
1061581,1925,0.05
1073986,1813,0.05
1091370,4215,0.05
1105074,1572,0.05
1116647,3366,0.05
1138160,1822,0.05
1147918,2128,0.05
1159824,2728,0.05
1159824,2728,0.05
1172745,2758,0.05
1185135,1572,0.05
1193942,2202,0.05
1206930,1716,0.05
1216588,1692,0.05
1226029,2435,0.05
1236969,1939,0.05
1247193,2125,0.05
1257000,1538,0.05
1267957,1594,0.05
1277881,1728,0.05
1289404,1648,0.05
1299877,3060,0.05
1312033,4734,0.05
1324255,2943,0.05
1335295,1524,0.05
1345119,5584,0.05
1366083,2206,0.05
1378788,6963,0.05
1394873,1988,0.05
1394873,1988,0.05
