mjd,mag,magerr
176576,2366,0.05
185771,1133,0.05
195983,1583,0.05
204961,619,0.05
209809,494,0.05
220037,2313,0.05
227701,400,0.05
237694,2788,0.05
250170,1749,0.05
263366,1059,0.05
271197,497,0.05
282654,228,0.05
289813,1816,0.05
295415,336,0.05
298708,296,0.05
301643,231,0.05
311294,1079,0.05
316251,176,0.05
320784,248,0.05
329996,198,0.05
329996,198,0.05
339306,323,0.05
342540,419,0.05
346921,305,0.05
351916,182,0.05
367188,1868,0.05
372174,357,0.05
376556,319,0.05
379437,256,0.05
390701,812,0.05
396633,341,0.05
400665,324,0.05
404312,307,0.05
408760,263,0.05
412472,250,0.05
415707,263,0.05
419755,200,0.05
424051,205,0.05
427599,272,0.05
431930,158,0.05
435681,298,0.05
435681,298,0.05
444109,165,0.05
446974,227,0.05
451488,200,0.05
455371,172,0.05
459686,138,0.05
462467,333,0.05
472397,216,0.05
475078,157,0.05
480610,216,0.05
483874,246,0.05
486623,144,0.05
490002,118,0.05
493392,154,0.05
496352,118,0.05
501153,157,0.05
507564,259,0.05
510242,159,0.05
513162,130,0.05
516941,318,0.05
520776,197,0.05
520776,197,0.05
528850,168,0.05
532085,392,0.05
535151,247,0.05
538967,166,0.05
541212,382,0.05
543730,374,0.05
546430,220,0.05
548513,271,0.05
552076,181,0.05
555231,150,0.05
558242,164,0.05
560891,172,0.05
564272,173,0.05
567086,385,0.05
569702,189,0.05
572934,159,0.05
575997,1090,0.05
579998,172,0.05
583129,161,0.05
587092,148,0.05
587092,148,0.05
