mjd,mag,magerr
318467,3839,0.05
336117,2954,0.05
355690,2289,0.05
374865,5999,0.05
395413,3902,0.05
417692,3251,0.05
434043,3687,0.05
449346,1886,0.05
461518,6312,0.05
477254,3518,0.05
492257,3349,0.05
504912,1858,0.05
519048,3655,0.05
535250,2415,0.05
547655,4762,0.05
565506,4093,0.05
578077,2798,0.05
588367,1475,0.05
599891,4189,0.05
614477,3379,0.05
614477,3379,0.05
660468,1947,0.05
671524,2638,0.05
682514,1716,0.05
692538,2982,0.05
702646,2048,0.05
715817,3956,0.05
728855,2085,0.05
738196,1604,0.05
748054,1623,0.05
758311,1957,0.05
771715,1476,0.05
785519,3194,0.05
796725,5193,0.05
811961,1752,0.05
830794,5019,0.05
844231,4218,0.05
854472,2565,0.05
865952,1725,0.05
881297,1477,0.05
897099,2085,0.05
897099,2085,0.05
922126,3217,0.05
932467,1744,0.05
948685,3810,0.05
963455,2756,0.05
975660,1072,0.05
985251,1143,0.05
996841,1513,0.05
1014475,961,0.05
1023066,2759,0.05
1034989,3933,0.05
1046910,2054,0.05
1058617,2434,0.05
1070273,3179,0.05
1088089,2747,0.05
1098963,5594,0.05
1112600,3497,0.05
1136112,1521,0.05
1145570,1818,0.05
1158225,1081,0.05
1168299,1236,0.05
1168299,1236,0.05
1181920,2677,0.05
1191228,2165,0.05
1204299,2112,0.05
1212358,3707,0.05
1223198,2305,0.05
1234938,1510,0.05
1245661,1006,0.05
1254702,1771,0.05
1265426,2003,0.05
1276400,948,0.05
1286307,2572,0.05
1296014,3317,0.05
1309102,2411,0.05
1321991,1744,0.05
1332097,2680,0.05
1340778,3815,0.05
1359955,5599,0.05
1376457,1805,0.05
1391032,3323,0.05
1400218,4497,0.05
1400218,4497,0.05
