mjd,mag,magerr
40842,177,0.05
42292,175,0.05
43877,160,0.05
45411,164,0.05
46974,169,0.05
48706,159,0.05
50205,176,0.05
51820,153,0.05
53488,195,0.05
55602,153,0.05
62267,204,0.05
64619,186,0.05
66415,129,0.05
70163,148,0.05
72029,163,0.05
73828,210,0.05
78360,357,0.05
80307,198,0.05
82278,220,0.05
83958,226,0.05
83958,226,0.05
93520,219,0.05
95537,181,0.05
97485,206,0.05
99434,200,0.05
101681,202,0.05
103866,276,0.05
105633,210,0.05
107431,191,0.05
109196,219,0.05
111145,197,0.05
112828,195,0.05
115211,227,0.05
119208,197,0.05
121375,189,0.05
123324,201,0.05
125439,186,0.05
127539,176,0.05
129471,183,0.05
131187,195,0.05
133236,2096,0.05
133236,2096,0.05
138549,206,0.05
140366,218,0.05
142115,208,0.05
145576,826,0.05
147814,220,0.05
150030,183,0.05
151880,224,0.05
153827,249,0.05
155696,183,0.05
157808,255,0.05
160090,156,0.05
162041,191,0.05
164339,576,0.05
167303,256,0.05
169787,270,0.05
172085,220,0.05
174067,274,0.05
179980,216,0.05
182615,414,0.05
185165,426,0.05
185165,426,0.05
189845,236,0.05
191927,233,0.05
193909,208,0.05
195908,192,0.05
197807,216,0.05
199772,220,0.05
201755,255,0.05
203840,201,0.05
210887,215,0.05
212901,175,0.05
214982,199,0.05
217282,227,0.05
220833,195,0.05
222790,192,0.05
225044,216,0.05
228827,240,0.05
230910,241,0.05
232892,264,0.05
238040,213,0.05
240156,201,0.05
240156,201,0.05
