mjd,mag,magerr
104172,1203,0.05
106766,469,0.05
111032,828,0.05
116860,2437,0.05
123219,860,0.05
125266,531,0.05
127188,781,0.05
131079,578,0.05
133172,500,0.05
134891,375,0.05
136547,375,0.05
138344,469,0.05
140813,656,0.05
142844,531,0.05
145454,468,0.05
147282,578,0.05
149250,844,0.05
152063,672,0.05
154079,750,0.05
155985,578,0.05
155985,578,0.05
159657,968,0.05
161938,562,0.05
163735,312,0.05
165500,360,0.05
167219,610,0.05
169579,671,0.05
172641,656,0.05
174907,609,0.05
177047,485,0.05
178829,1421,0.05
181516,422,0.05
183157,406,0.05
184844,516,0.05
186625,454,0.05
188391,1438,0.05
191141,422,0.05
192844,563,0.05
194657,359,0.05
196969,1469,0.05
199719,985,0.05
199719,985,0.05
203641,1391,0.05
206219,391,0.05
207875,329,0.05
209704,296,0.05
211329,390,0.05
213110,359,0.05
214688,344,0.05
216235,344,0.05
217907,281,0.05
220329,328,0.05
222625,1266,0.05
225000,1079,0.05
227344,703,0.05
229407,562,0.05
231485,562,0.05
233469,500,0.05
235204,609,0.05
237063,469,0.05
238922,750,0.05
241000,954,0.05
241000,954,0.05
244563,1281,0.05
247079,546,0.05
248922,547,0.05
250735,328,0.05
252313,406,0.05
253922,297,0.05
255454,343,0.05
257188,219,0.05
258563,469,0.05
260188,359,0.05
261766,406,0.05
263454,281,0.05
265000,188,0.05
266625,375,0.05
268360,1219,0.05
270704,109,0.05
272016,266,0.05
273625,313,0.05
275204,312,0.05
276766,313,0.05
276766,313,0.05
