mjd,mag,magerr
176371,1625,0.05
188437,1185,0.05
199568,528,0.05
206284,1520,0.05
212434,813,0.05
221548,1206,0.05
231098,622,0.05
238397,818,0.05
247463,853,0.05
256227,586,0.05
263010,201,0.05
268143,400,0.05
276625,318,0.05
280842,206,0.05
285157,594,0.05
292656,257,0.05
297922,207,0.05
301922,187,0.05
305538,218,0.05
309271,302,0.05
309271,302,0.05
467250,1355,0.05
473749,835,0.05
483349,554,0.05
488831,239,0.05
495479,288,0.05
499096,199,0.05
503296,296,0.05
507412,211,0.05
513611,756,0.05
517544,266,0.05
521661,325,0.05
527059,549,0.05
529909,311,0.05
534476,242,0.05
537658,240,0.05
540126,493,0.05
542858,220,0.05
546041,197,0.05
549090,170,0.05
553823,259,0.05
553823,259,0.05
558755,189,0.05
561172,159,0.05
564272,178,0.05
566255,336,0.05
569571,176,0.05
571920,177,0.05
573954,202,0.05
576836,208,0.05
579370,483,0.05
582453,177,0.05
586186,177,0.05
588601,189,0.05
591085,165,0.05
594651,197,0.05
597651,200,0.05
599934,437,0.05
602419,208,0.05
604500,164,0.05
606882,330,0.05
614749,408,0.05
614749,408,0.05
618682,260,0.05
621331,191,0.05
623447,445,0.05
625329,205,0.05
627413,194,0.05
630545,252,0.05
632795,363,0.05
635412,402,0.05
638280,238,0.05
645860,198,0.05
653444,202,0.05
661526,1113,0.05
667341,374,0.05
671007,201,0.05
673808,582,0.05
677357,228,0.05
680257,510,0.05
682788,251,0.05
685855,295,0.05
689772,222,0.05
689772,222,0.05
