mjd,mag,magerr
161459,3119,0.05
169662,2648,0.05
174172,1545,0.05
177783,2639,0.05
182076,1173,0.05
184588,1230,0.05
187550,1132,0.05
190030,1368,0.05
192908,1014,0.05
195121,1112,0.05
197484,1232,0.05
199998,985,0.05
202177,1374,0.05
205006,2267,0.05
209199,1319,0.05
211678,1379,0.05
215255,1362,0.05
219898,1013,0.05
222494,834,0.05
224624,802,0.05
224624,802,0.05
229166,1490,0.05
231845,895,0.05
234209,650,0.05
236438,972,0.05
238635,899,0.05
241048,705,0.05
242961,536,0.05
244891,956,0.05
247038,744,0.05
249085,721,0.05
251248,940,0.05
253661,935,0.05
255757,1274,0.05
258752,1103,0.05
261581,1049,0.05
264360,863,0.05
266689,965,0.05
269967,808,0.05
272330,758,0.05
274560,1219,0.05
274560,1219,0.05
277772,1477,0.05
280519,920,0.05
283047,1209,0.05
285393,801,0.05
287506,1073,0.05
290068,1069,0.05
292282,589,0.05
294128,876,0.05
296375,988,0.05
298621,1361,0.05
301184,798,0.05
303247,1878,0.05
307141,889,0.05
309321,789,0.05
311434,609,0.05
313165,613,0.05
315195,681,0.05
317275,828,0.05
319254,783,0.05
321268,954,0.05
321268,954,0.05
325179,1029,0.05
327358,685,0.05
330087,866,0.05
332117,1175,0.05
334414,1012,0.05
336560,679,0.05
338457,1462,0.05
341136,720,0.05
342900,784,0.05
344830,1464,0.05
347442,807,0.05
349856,853,0.05
351852,627,0.05
353383,1338,0.05
356096,1262,0.05
358608,1103,0.05
360854,623,0.05
362968,1109,0.05
365247,1275,0.05
367727,853,0.05
367727,853,0.05
