mjd,mag,magerr
314254,4197,0.05
330656,5456,0.05
350954,4723,0.05
366789,8066,0.05
390217,5190,0.05
408852,8833,0.05
430963,3077,0.05
446882,2452,0.05
459703,1812,0.05
475305,1937,0.05
489276,2974,0.05
500366,4536,0.05
515851,3185,0.05
532869,2370,0.05
545041,2605,0.05
561859,3645,0.05
575230,2842,0.05
586453,1904,0.05
596694,3191,0.05
612229,2231,0.05
612229,2231,0.05
657504,2956,0.05
668161,3351,0.05
680899,1611,0.05
689841,2683,0.05
699931,2708,0.05
713486,2320,0.05
726690,2161,0.05
736781,1402,0.05
746346,1703,0.05
756696,1609,0.05
769517,2184,0.05
782538,2970,0.05
795060,1652,0.05
808715,3238,0.05
829052,1729,0.05
839469,4758,0.05
851891,2573,0.05
863780,2153,0.05
877700,3590,0.05
890239,6856,0.05
890239,6856,0.05
920363,1751,0.05
930568,1891,0.05
940931,7747,0.05
960724,2714,0.05
971563,4095,0.05
983020,2216,0.05
995092,1741,0.05
1009396,5076,0.05
1021368,1682,0.05
1032973,2004,0.05
1044896,2011,0.05
1055370,3233,0.05
1067292,2974,0.05
1084876,3210,0.05
1097980,973,0.05
1111368,1231,0.05
1133964,2143,0.05
1143546,2022,0.05
1153246,4969,0.05
1166667,1631,0.05
1166667,1631,0.05
1179172,2739,0.05
1189579,1639,0.05
1202202,2087,0.05
1211159,1183,0.05
1220251,2933,0.05
1232689,2234,0.05
1242231,3429,0.05
1251772,2918,0.05
1263062,2360,0.05
1273469,2929,0.05
1283427,2878,0.05
1293850,2161,0.05
1307370,1722,0.05
1321125,860,0.05
1330000,2095,0.05
1338725,2046,0.05
1356942,3007,0.05
1375641,811,0.05
1387563,3461,0.05
1399019,1187,0.05
1399019,1187,0.05
