mjd,mag,magerr
319079,5554,0.05
336586,4670,0.05
357698,9417,0.05
383354,5236,0.05
397658,5686,0.05
415114,4094,0.05
428512,10498,0.05
448853,2679,0.05
464062,6739,0.05
479138,4226,0.05
498170,4297,0.05
506806,4483,0.05
517169,2749,0.05
528538,9650,0.05
549130,6714,0.05
564306,3030,0.05
578375,1580,0.05
588906,12786,0.05
608810,3183,0.05
617010,1681,0.05
617010,1681,0.05
687993,2068,0.05
697366,1546,0.05
705885,4793,0.05
718059,4429,0.05
730669,1643,0.05
748847,12679,0.05
768919,1280,0.05
775861,1888,0.05
784464,2142,0.05
796000,10107,0.05
811595,5497,0.05
825597,3607,0.05
834284,1721,0.05
847229,3861,0.05
855496,2905,0.05
865658,3880,0.05
877346,4865,0.05
888178,4472,0.05
902214,1886,0.05
910716,4603,0.05
910716,4603,0.05
973347,6745,0.05
986326,4180,0.05
994291,2139,0.05
1004503,7505,0.05
1021541,5372,0.05
1032726,2521,0.05
1047767,3245,0.05
1060595,3082,0.05
1068711,4564,0.05
1080482,2075,0.05
1089102,3454,0.05
1103255,1477,0.05
1113467,6219,0.05
1127083,1712,0.05
1136390,1876,0.05
1153779,1478,0.05
1164914,5490,0.05
1176518,1705,0.05
1185305,1040,0.05
1196506,5633,0.05
1196506,5633,0.05
1254744,2931,0.05
1265426,4450,0.05
1278522,3100,0.05
1289824,3374,0.05
1305822,1875,0.05
1318633,2770,0.05
1330153,1812,0.05
1339544,4315,0.05
1350494,1846,0.05
1360639,3074,0.05
1373752,3342,0.05
1386513,6351,0.05
1407072,3506,0.05
1420118,2769,0.05
1433801,5021,0.05
1445154,3782,0.05
1457697,2235,0.05
1467473,3541,0.05
1482783,11596,0.05
1499082,5246,0.05
1499082,5246,0.05
