mjd,mag,magerr
291802,1383,0.05
302001,2057,0.05
314836,2329,0.05
325838,3764,0.05
338535,1653,0.05
350538,1481,0.05
360568,1497,0.05
370776,2162,0.05
382069,3574,0.05
399121,3130,0.05
408785,6996,0.05
427762,2959,0.05
440387,4102,0.05
454428,2896,0.05
467720,1898,0.05
482269,1894,0.05
493385,1765,0.05
504219,1930,0.05
516045,2155,0.05
527839,1264,0.05
527839,1264,0.05
552170,3134,0.05
569911,1708,0.05
580067,1711,0.05
592470,1904,0.05
604961,2166,0.05
617137,3667,0.05
631684,2463,0.05
646987,1330,0.05
656637,4112,0.05
671105,1989,0.05
688083,1225,0.05
696223,4424,0.05
714545,2091,0.05
723455,1085,0.05
733225,1202,0.05
740677,1572,0.05
756105,2055,0.05
765054,3974,0.05
779159,3437,0.05
790288,1182,0.05
790288,1182,0.05
806309,1966,0.05
816122,1327,0.05
826416,1297,0.05
837547,2142,0.05
848028,2042,0.05
856750,2442,0.05
866898,2731,0.05
876740,5279,0.05
892760,1318,0.05
902773,3043,0.05
912373,3859,0.05
926422,1684,0.05
933191,3083,0.05
943857,1684,0.05
953455,1987,0.05
960973,3547,0.05
972106,2380,0.05
984123,906,0.05
997272,1958,0.05
1006706,2423,0.05
1006706,2423,0.05
1225091,1552,0.05
1233129,1464,0.05
1244791,1195,0.05
1251857,1053,0.05
1259378,2930,0.05
1271558,1238,0.05
1279147,1064,0.05
1285816,3355,0.05
1295440,1043,0.05
1301719,1162,0.05
1308874,1428,0.05
1318499,2584,0.05
1330241,2837,0.05
1342619,1042,0.05
1349120,1146,0.05
1357724,2295,0.05
1366624,1822,0.05
1380141,1368,0.05
1388393,1291,0.05
1396991,2275,0.05
1396991,2275,0.05
