mjd,mag,magerr
105391,219,0.05
107266,250,0.05
111875,610,0.05
119313,1234,0.05
124110,187,0.05
125813,156,0.05
127969,1406,0.05
131657,359,0.05
133688,219,0.05
135282,218,0.05
136938,219,0.05
138813,219,0.05
141485,203,0.05
143391,234,0.05
145938,203,0.05
147875,282,0.05
150110,250,0.05
152750,172,0.05
154844,188,0.05
156579,156,0.05
156579,156,0.05
160641,156,0.05
162532,140,0.05
164063,344,0.05
165860,219,0.05
167844,203,0.05
170266,188,0.05
173313,203,0.05
175532,203,0.05
177547,157,0.05
180266,172,0.05
181969,172,0.05
183594,203,0.05
185360,203,0.05
187110,187,0.05
189860,187,0.05
191579,187,0.05
193422,172,0.05
195032,265,0.05
198454,140,0.05
200719,313,0.05
200719,313,0.05
205094,78,0.05
206625,172,0.05
208219,344,0.05
210079,140,0.05
211766,234,0.05
213500,172,0.05
215079,125,0.05
216610,156,0.05
218219,188,0.05
220688,203,0.05
223907,218,0.05
226094,156,0.05
228063,156,0.05
230000,141,0.05
232063,312,0.05
233985,187,0.05
235829,203,0.05
237547,282,0.05
239688,141,0.05
241985,125,0.05
241985,125,0.05
245875,157,0.05
247625,204,0.05
249485,172,0.05
251079,156,0.05
252735,172,0.05
254235,172,0.05
255813,203,0.05
257422,203,0.05
259047,188,0.05
260563,187,0.05
262172,203,0.05
263750,172,0.05
265204,156,0.05
267016,203,0.05
269610,125,0.05
270829,187,0.05
272297,188,0.05
273969,156,0.05
275532,187,0.05
277094,203,0.05
277094,203,0.05
