mjd,mag,magerr
324647,3524,0.05
341265,4396,0.05
367122,4803,0.05
388603,2383,0.05
403359,2606,0.05
419223,2381,0.05
439027,2689,0.05
451536,4179,0.05
470803,2929,0.05
483380,2768,0.05
502480,1419,0.05
511300,1872,0.05
519920,4376,0.05
538197,5779,0.05
555855,4118,0.05
567341,5000,0.05
579968,4073,0.05
601700,3134,0.05
611996,2798,0.05
618704,2792,0.05
618704,2792,0.05
690072,3010,0.05
698926,2822,0.05
710681,3057,0.05
722503,3698,0.05
732329,7913,0.05
761541,1782,0.05
770210,2144,0.05
777756,2798,0.05
786610,2352,0.05
806112,1942,0.05
817095,1713,0.05
829220,2693,0.05
836011,1783,0.05
851103,1907,0.05
858414,1825,0.05
869548,2347,0.05
882226,1643,0.05
892656,3253,0.05
904109,2018,0.05
915327,1675,0.05
915327,1675,0.05
980105,2201,0.05
990518,869,0.05
996438,1514,0.05
1012016,4687,0.05
1026923,1753,0.05
1035257,1629,0.05
1051020,4700,0.05
1063680,1176,0.05
1073289,2017,0.05
1082562,2978,0.05
1092557,7453,0.05
1104747,2601,0.05
1119688,2338,0.05
1128810,2166,0.05
1138268,11279,0.05
1155272,5686,0.05
1170414,2901,0.05
1178228,2599,0.05
1186362,3959,0.05
1202141,6769,0.05
1202141,6769,0.05
1257678,1570,0.05
1269886,3316,0.05
1281624,2039,0.05
1293212,7680,0.05
1307700,5771,0.05
1321417,3090,0.05
1331981,3288,0.05
1343870,2946,0.05
1352355,2798,0.05
1363725,3050,0.05
1377106,4186,0.05
1392868,6402,0.05
1410593,3283,0.05
1422901,3699,0.05
1438832,2830,0.05
1448943,2946,0.05
1459944,4270,0.05
1471028,2374,0.05
1494387,1320,0.05
1504331,1347,0.05
1504331,1347,0.05
