mjd,mag,magerr
295531,2305,0.05
306697,4203,0.05
318510,3598,0.05
328642,2922,0.05
339655,2045,0.05
352114,1714,0.05
361912,1788,0.05
379350,2982,0.05
395065,2131,0.05
404898,522,0.05
426488,1620,0.05
435627,1305,0.05
444543,1221,0.05
456751,1685,0.05
466307,2401,0.05
478758,4710,0.05
494425,867,0.05
503425,1755,0.05
514605,1255,0.05
521584,2620,0.05
521584,2620,0.05
558264,2796,0.05
566445,3727,0.05
577486,1678,0.05
587195,3177,0.05
596681,1923,0.05
605646,1605,0.05
618076,1416,0.05
626208,1052,0.05
632632,3428,0.05
642180,3032,0.05
650750,3710,0.05
661958,4478,0.05
672451,1881,0.05
685048,1260,0.05
692596,1639,0.05
705381,2295,0.05
714804,5760,0.05
726415,1333,0.05
732499,6265,0.05
743526,2478,0.05
743526,2478,0.05
774214,1350,0.05
786852,1935,0.05
797554,1154,0.05
808137,1083,0.05
816921,2147,0.05
825706,1594,0.05
833914,1618,0.05
844998,886,0.05
855956,1056,0.05
864984,2332,0.05
878699,1409,0.05
891511,1981,0.05
902393,890,0.05
913504,2284,0.05
923365,1711,0.05
931677,1807,0.05
946045,1807,0.05
961066,2274,0.05
973066,970,0.05
980017,4891,0.05
980017,4891,0.05
1061044,2368,0.05
1070933,2471,0.05
1082287,2012,0.05
1092183,1828,0.05
1101919,1453,0.05
1109940,2640,0.05
1119655,2293,0.05
1130925,1311,0.05
1139391,1244,0.05
1148231,1725,0.05
1156592,1291,0.05
1165967,1637,0.05
1176960,1852,0.05
1185918,2366,0.05
1193897,3371,0.05
1202640,2555,0.05
1211050,2505,0.05
1218744,2692,0.05
1229438,2126,0.05
1238876,1103,0.05
1238876,1103,0.05
