mjd,mag,magerr
165089,6064,0.05
178522,4622,0.05
190154,4664,0.05
200652,3032,0.05
208334,1817,0.05
213767,2779,0.05
223298,3419,0.05
232265,3998,0.05
239763,2877,0.05
248880,4984,0.05
257361,3740,0.05
263743,2433,0.05
269109,4458,0.05
277476,2336,0.05
281574,1783,0.05
286307,2132,0.05
293440,3677,0.05
298655,2620,0.05
302671,2181,0.05
306288,2374,0.05
306288,2374,0.05
458086,4200,0.05
469133,2946,0.05
475116,3203,0.05
484432,1608,0.05
489615,2598,0.05
496297,1648,0.05
499830,2118,0.05
504112,2605,0.05
508162,3548,0.05
514894,1153,0.05
518328,2158,0.05
522509,3102,0.05
528126,1012,0.05
530745,3239,0.05
535258,1921,0.05
538424,1190,0.05
541175,1100,0.05
543623,547,0.05
546773,967,0.05
549823,2687,0.05
549823,2687,0.05
556688,1404,0.05
559472,977,0.05
561871,1754,0.05
565004,728,0.05
567122,1451,0.05
570270,1048,0.05
572621,695,0.05
574704,1633,0.05
577570,1225,0.05
580385,1221,0.05
583186,2081,0.05
586901,968,0.05
589319,1294,0.05
591801,967,0.05
595383,1091,0.05
598384,1098,0.05
600917,1090,0.05
603150,885,0.05
605182,1058,0.05
607750,3714,0.05
607750,3714,0.05
616997,1064,0.05
619465,1338,0.05
622080,680,0.05
624414,463,0.05
626064,784,0.05
628130,1946,0.05
631347,735,0.05
633678,1193,0.05
636346,1169,0.05
639061,3806,0.05
646578,2705,0.05
654176,2534,0.05
663159,3606,0.05
668242,1903,0.05
671741,1228,0.05
674924,1871,0.05
678107,1617,0.05
681289,961,0.05
683590,1739,0.05
686672,2522,0.05
686672,2522,0.05
